Fecha,Local,Visitante,Goles_Local,Goles_Visitante,Resultado
2024-09-15,Rosario Central,Talleres Cordoba,2,2,E
2024-09-15,Argentinos JRS,Newells Old Boys,3,0,L
2024-09-16,Barracas Central,Banfield,0,1,V
2024-09-17,Independ. Rivadavia,Defensa Y Justicia,1,0,L
2024-09-20,Gimnasia L.P.,Deportivo Riestra,0,0,E
2024-09-20,Union Santa Fe,Godoy Cruz,3,1,L
2024-09-21,Boca Juniors,River Plate,0,1,V
2024-09-21,Newells Old Boys,Tigre,1,0,L
2024-09-21,Instituto Cordoba,Barracas Central,0,1,V
2024-09-22,Defensa Y Justicia,San Lorenzo,0,0,E
2024-09-22,Huracan,Lanus,3,0,L
2024-09-22,Independiente,Argentinos JRS,0,0,E
2024-09-22,Talleres Cordoba,Racing Club,2,0,L
2024-09-22,Atletico Tucuman,Belgrano Cordoba,2,4,V
2024-09-22,Platense,Rosario Central,1,0,L
2024-09-23,Sarmiento Junin,Central Cordoba de Santiago,1,3,V
2024-09-24,Velez Sarsfield,Estudiantes L.P.,2,0,L
2024-09-24,Banfield,Independ. Rivadavia,2,0,L
2024-09-27,Deportivo Riestra,Newells Old Boys,3,3,E
2024-09-28,Independ. Rivadavia,Instituto Cordoba,1,1,E
2024-09-28,San Lorenzo,Banfield,2,1,L
2024-09-28,Godoy Cruz,Huracan,1,1,E
2024-09-28,Estudiantes L.P.,Defensa Y Justicia,1,0,L
2024-09-28,Belgrano Cordoba,Boca Juniors,2,0,L
2024-09-29,Central Cordoba de Santiago,Barracas Central,2,1,L
2024-09-29,River Plate,Talleres Cordoba,0,1,V
2024-09-29,Sarmiento Junin,Union Santa Fe,1,0,L
2024-09-30,Argentinos JRS,Atletico Tucuman,0,0,E
2024-10-01,Racing Club,Platense,1,1,E
2024-10-01,Lanus,Gimnasia L.P.,0,0,E
2024-10-01,Tigre,Independiente,1,1,E
2024-10-01,Rosario Central,Velez Sarsfield,3,0,L
2024-10-04,Union Santa Fe,Central Cordoba de Santiago,0,2,V
2024-10-05,Huracan,Sarmiento Junin,3,1,L
2024-10-05,Velez Sarsfield,Racing Club,1,0,L
2024-10-05,Gimnasia L.P.,Godoy Cruz,0,1,V
2024-10-05,Newells Old Boys,Lanus,2,1,L
2024-10-05,Instituto Cordoba,San Lorenzo,2,0,L
2024-10-06,Independiente,Deportivo Riestra,3,1,L
2024-10-06,Talleres Cordoba,Belgrano Cordoba,0,0,E
2024-10-06,Platense,River Plate,0,0,E
2024-10-07,Boca Juniors,Argentinos JRS,1,0,L
2024-10-07,Barracas Central,Independ. Rivadavia,1,1,E
2024-10-07,Banfield,Estudiantes L.P.,1,2,V
2024-10-07,Defensa Y Justicia,Rosario Central,2,1,L
2024-10-08,Atletico Tucuman,Tigre,1,2,V
2024-10-12,Godoy Cruz,San Lorenzo,1,1,E
2024-10-18,Deportivo Riestra,Atletico Tucuman,2,0,L
2024-10-18,Sarmiento Junin,Gimnasia L.P.,1,1,E
2024-10-18,Central Cordoba de Santiago,Independ. Rivadavia,2,0,L
2024-10-18,Lanus,Independiente,0,2,V
2024-10-19,River Plate,Velez Sarsfield,1,1,E
2024-10-19,Racing Club,Defensa Y Justicia,4,3,L
2024-10-19,Belgrano Cordoba,Platense,0,1,V
2024-10-19,Tigre,Boca Juniors,3,0,L
2024-10-20,Union Santa Fe,Huracan,0,1,V
2024-10-20,Argentinos JRS,Talleres Cordoba,3,0,L
2024-10-20,Rosario Central,Banfield,1,1,E
2024-10-20,Estudiantes L.P.,Instituto Cordoba,3,2,L
2024-10-20,Godoy Cruz,Newells Old Boys,2,0,L
2024-10-20,San Lorenzo,Barracas Central,1,0,L
2024-10-25,Barracas Central,Estudiantes L.P.,1,1,E
2024-10-26,Defensa Y Justicia,River Plate,0,0,E
2024-10-26,Newells Old Boys,Sarmiento Junin,1,1,E
2024-10-26,Instituto Cordoba,Rosario Central,0,0,E
2024-10-26,Independiente,Godoy Cruz,1,1,E
2024-10-27,Velez Sarsfield,Belgrano Cordoba,1,1,E
2024-10-27,Independ. Rivadavia,San Lorenzo,1,0,L
2024-10-27,Platense,Argentinos JRS,2,1,L
2024-10-27,Banfield,Racing Club,2,1,L
2024-10-27,Boca Juniors,Deportivo Riestra,1,1,E
2024-10-28,Atletico Tucuman,Lanus,1,0,L
2024-10-28,Talleres Cordoba,Tigre,1,1,E
2024-10-28,Gimnasia L.P.,Union Santa Fe,2,3,V
2024-10-29,Huracan,Central Cordoba de Santiago,0,0,E
2024-10-31,Estudiantes L.P.,Independ. Rivadavia,1,1,E
2024-10-31,Sarmiento Junin,Independiente,0,0,E
2024-11-01,Rosario Central,Barracas Central,0,1,V
2024-11-01,Godoy Cruz,Atletico Tucuman,1,1,E
2024-11-01,Central Cordoba de Santiago,San Lorenzo,0,1,V
2024-11-01,Huracan,Gimnasia L.P.,0,0,E
2024-11-02,Union Santa Fe,Newells Old Boys,2,0,L
2024-11-02,Argentinos JRS,Velez Sarsfield,1,1,E
2024-11-02,Deportivo Riestra,Talleres Cordoba,0,0,E
2024-11-02,River Plate,Banfield,3,1,L
2024-11-02,Belgrano Cordoba,Defensa Y Justicia,1,2,V
